Price,Close,High,Low,Open,Volume
Ticker,MU,MU,MU,MU,MU
Date,,,,,
2026-07-27,900.2000122070312,935.0,854.7899780273438,932.4500122070312,47591200
2026-07-28,820.530029296875,848.3599853515625,789.0900268554688,839.6099853515625,61039300
2026-07-29,739.0,841.7999877929688,737.8800048828125,833.0,69846000
2026-07-30,874.6599731445312,882.5,789.0,793.1400146484375,63075300
2026-07-31,823.030029296875,930.8800048828125,818.0,919.6500244140625,54538600
2026-08-03,829.5,836.6199951171875,770.0999755859375,786.3599853515625,42607100
2026-08-04,892.6699829101562,902.4299926757812,858.5,866.8200073242188,37478600
2026-08-05,893.1900024414062,928.97998046875,881.2000122070312,885.2999877929688,34720300
2026-08-06,881.469970703125,913.3300170898438,827.0,843.1099853515625,35784100
2026-08-07,877.5700073242188,904.7999877929688,847.02001953125,903.5999755859375,34568500
2026-08-10,861.0,894.989990234375,854.4000244140625,863.6699829101562,27818600
2026-08-11,868.52001953125,879.0,844.6199951171875,871.7999877929688,29438300
2026-08-12,911.2899780273438,935.7999877929688,899.5399780273438,912.9400024414062,36804900
2026-08-13,949.8300170898438,978.0,906.5,912.8900146484375,36704700
2026-08-14,971.6599731445312,984.0,956.2000122070312,979.3200073242188,27881100
2026-08-17,1011.75,1036.1300048828125,995.260009765625,999.5499877929688,33430500
2026-08-18,940.760009765625,978.6699829101562,926.6400146484375,957.0999755859375,37306000
2026-08-19,937.1099853515625,960.0,915.1799926757812,959.3599853515625,26901900
2026-08-20,974.3300170898438,977.280029296875,929.0700073242188,935.010009765625,25212200
2026-08-21,966.780029296875,989.9600219726562,958.260009765625,989.6799926757812,21823400
2026-08-24,910.4299926757812,936.4500122070312,887.6099853515625,934.780029296875,30012600
2026-08-25,932.969970703125,946.6699829101562,916.2999877929688,928.97998046875,19163200
2026-08-26,938.4000244140625,945.75,924.5999755859375,925.739990234375,18333700
2026-08-27,911.4102783203125,968.6845092773438,906.8900146484375,966.9849853515625,20893018
