Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,
2026-07-27,231.38999938964844,235.88999938964844,230.99000549316406,235.6699981689453,34999500
2026-07-28,230.86000061035156,233.11000061035156,228.10000610351562,232.85000610351562,44521600
2026-07-29,226.64999389648438,232.82000732421875,226.16000366210938,229.32000732421875,44957500
2026-07-30,235.5,239.82000732421875,231.05999755859375,233.35000610351562,101839800
2026-07-31,271.5799865722656,273.2300109863281,262.010009765625,265.0,129054800
2026-08-03,284.0199890136719,287.20001220703125,278.0,278.2900085449219,90830200
2026-08-04,277.4200134277344,281.07000732421875,275.82000732421875,276.05999755859375,69748100
2026-08-05,272.6499938964844,282.7900085449219,270.7300109863281,281.5899963378906,45119800
2026-08-06,272.260009765625,275.4800109863281,271.05999755859375,272.7699890136719,30672900
2026-08-07,274.4800109863281,278.30999755859375,272.75,272.8699951171875,33861400
2026-08-10,278.0899963378906,280.1400146484375,273.6000061035156,274.010009765625,35731900
2026-08-11,272.2699890136719,278.8399963378906,271.3599853515625,278.69000244140625,31895700
2026-08-12,267.2799987792969,273.4599914550781,267.1000061035156,273.17999267578125,29941100
2026-08-13,265.1300048828125,269.5799865722656,264.7099914550781,267.239990234375,32170200
2026-08-14,262.6499938964844,265.80999755859375,262.4200134277344,264.8800048828125,27251700
2026-08-17,261.30999755859375,265.75,258.3399963378906,265.44000244140625,43896500
2026-08-18,259.45001220703125,262.17999267578125,257.7300109863281,260.6300048828125,33171300
2026-08-19,265.8399963378906,266.3999938964844,258.5799865722656,260.8500061035156,35762400
2026-08-20,260.1099853515625,263.8399963378906,259.5199890136719,263.1600036621094,28374100
2026-08-21,258.6300048828125,261.0899963378906,257.0400085449219,260.739990234375,35723000
2026-08-24,262.07000732421875,263.32000732421875,259.04998779296875,259.6000061035156,28070500
2026-08-25,261.05999755859375,263.8900146484375,259.8299865722656,262.510009765625,25550200
2026-08-26,260.2799987792969,262.04998779296875,258.239990234375,261.2799987792969,21405400
2026-08-27,255.17999267578125,259.6600036621094,255.02000427246094,259.2300109863281,23173248
