Price,Close,High,Low,Open,Volume
Ticker,GLE.PA,GLE.PA,GLE.PA,GLE.PA,GLE.PA
Date,,,,,
2026-07-27,78.08999633789062,79.05000305175781,77.83999633789062,78.0,1337329
2026-07-28,76.9800033569336,78.41999816894531,76.16999816894531,78.36000061035156,1212085
2026-07-29,76.72000122070312,77.91999816894531,76.37999725341797,77.29000091552734,1235441
2026-07-30,81.0999984741211,82.1500015258789,76.27999877929688,77.0,3303453
2026-07-31,81.30999755859375,82.88999938964844,80.62999725341797,81.37000274658203,2022436
2026-08-03,83.08999633789062,83.5199966430664,82.37000274658203,82.37000274658203,1549198
2026-08-04,83.0,83.88999938964844,81.91999816894531,83.48999786376953,1921306
2026-08-05,83.80000305175781,83.88999938964844,82.77999877929688,83.06999969482422,1493410
2026-08-06,84.2300033569336,84.81999969482422,84.05000305175781,84.05000305175781,1245222
2026-08-07,83.91999816894531,84.4800033569336,83.41999816894531,84.37000274658203,1203864
2026-08-10,84.0,84.1500015258789,82.94999694824219,83.58999633789062,1128168
2026-08-11,83.62000274658203,84.43000030517578,83.43000030517578,84.11000061035156,1257019
2026-08-12,83.12000274658203,84.0999984741211,83.12000274658203,83.93000030517578,1323355
2026-08-13,82.87000274658203,84.25,82.7300033569336,83.7300033569336,1179052
2026-08-14,82.36000061035156,82.97000122070312,82.18000030517578,82.93000030517578,1190738
2026-08-17,82.13999938964844,83.13999938964844,82.13999938964844,82.5,1010958
2026-08-18,80.05000305175781,82.73999786376953,80.05000305175781,82.30000305175781,1885446
2026-08-19,77.0199966430664,80.22000122070312,76.93000030517578,80.08000183105469,2426309
2026-08-20,76.4000015258789,77.5199966430664,76.1500015258789,77.04000091552734,1797969
2026-08-21,76.12000274658203,76.55999755859375,75.16000366210938,75.87999725341797,1884911
2026-08-24,75.63999938964844,76.55000305175781,75.33999633789062,75.91999816894531,1370142
2026-08-25,75.0199966430664,76.44999694824219,74.80000305175781,76.02999877929688,1829604
2026-08-26,74.76000213623047,75.83999633789062,74.2699966430664,75.62999725341797,1580462
2026-08-27,71.02999877929688,75.44999694824219,70.36000061035156,75.0,4488860
