Price,Close,High,Low,Open,Volume
Ticker,SOFI,SOFI,SOFI,SOFI,SOFI
Date,,,,,
2026-07-27,16.8799991607666,17.5,16.690000534057617,16.940000534057617,66663000
2026-07-28,16.739999771118164,16.850000381469727,16.170000076293945,16.559999465942383,83122300
2026-07-29,15.25,15.770000457763672,14.880000114440918,15.5,193584300
2026-07-30,16.469999313354492,16.479999542236328,15.260000228881836,15.319999694824219,83365000
2026-07-31,16.309999465942383,16.5,15.831000328063965,16.440000534057617,56688800
2026-08-03,18.030000686645508,18.079999923706055,16.450000762939453,16.520000457763672,83847200
2026-08-04,18.700000762939453,18.709999084472656,18.1200008392334,18.229999542236328,61346100
2026-08-05,18.25,18.860000610351562,18.229999542236328,18.760000228881836,56859700
2026-08-06,18.100000381469727,18.489999771118164,17.889999389648438,17.940000534057617,45351100
2026-08-07,18.3799991607666,18.53499984741211,18.024999618530273,18.459999084472656,51642400
2026-08-10,18.1200008392334,18.434999465942383,17.989999771118164,18.378000259399414,38213700
2026-08-11,17.979999542236328,18.40999984741211,17.829999923706055,18.209999084472656,38901400
2026-08-12,17.940000534057617,18.399999618530273,17.649999618530273,18.3700008392334,37161800
2026-08-13,18.43000030517578,18.649999618530273,17.8799991607666,18.100000381469727,61870100
2026-08-14,18.290000915527344,18.579999923706055,18.280000686645508,18.459999084472656,34301800
2026-08-17,18.309999465942383,18.959999084472656,18.170000076293945,18.68000030517578,70070100
2026-08-18,17.65999984741211,18.309999465942383,17.639999389648438,17.90999984741211,32609400
2026-08-19,18.420000076293945,18.719999313354492,17.840999603271484,17.854999542236328,42854300
2026-08-20,17.920000076293945,19.0,17.719999313354492,18.920000076293945,45494500
2026-08-21,18.90999984741211,19.170000076293945,18.065000534057617,18.18000030517578,62406100
2026-08-24,18.239999771118164,18.88800048828125,18.21500015258789,18.729999542236328,33512900
2026-08-25,19.0,19.020000457763672,18.06999969482422,18.329999923706055,40267400
2026-08-26,18.84000015258789,19.31999969482422,18.709999084472656,18.969999313354492,36376100
2026-08-27,19.058900833129883,19.469999313354492,18.59000015258789,19.006399154663086,28121364
